Team,Shooting Factor,Turnover Factor,Rebounding Factor,Free Throw Factor
Atlanta Hawks,-0.9468770003395208,-0.4613110866976764,-1.1961654315701546,-0.4744315323717217
Boston Celtics,0.93290309505241,0.04322599730683333,0.0312218542529763,-0.35770631408978976
Brooklyn Nets,-0.09153238505914638,-2.0411441903687297,-0.8466192834764318,0.4593702138837312
Charlotte Hornets,-1.0284947880935038,0.817437273206472,1.3091820088532249,2.0935232698307784
Chicago Bulls,-1.7918351510940933,-0.1193620797114571,0.4913226640164889,-1.1747828420633133
Cleveland Cavaliers,0.25671879312417706,-0.29876702295513824,-1.1020011127330143,0.8679084778704944
Dallas Mavericks,-0.7641546034390058,1.0105944572971806,-1.289552006338808,-1.4082332786271772
Denver Nuggets,-0.10854590163386318,-0.6998913656326996,1.283334791038211,0.2842823864608359
Detroit Pistons,-0.4696748532312798,1.0384413486775468,0.488082702747764,-1.1164202329223474
Golden State Warriors,2.568403967486187,-1.304112005834954,-1.15825218514731,-0.007530659243995233
Houston Rockets,1.144586089287122,0.6094297988597783,0.4611636549803248,1.7433476149849827
Indiana Pacers,-0.10757885817533296,1.5615837536347987,-0.49008188056439816,-0.9996950146404154
League Average,0.0037676302303150467,-0.005871669577069619,-0.004359507571951829,-0.007530659243995233
Los Angeles Clippers,0.32523967400229764,-0.48471882632400476,-0.21577278566267785,1.3931719601391868
Los Angeles Lakers,0.12487300991495977,-1.034761027215575,0.5941012915218237,-0.007530659243995233
Memphis Grizzlies,-1.2253007982759683,-0.13685926532329645,-0.4768697332616751,-0.007530659243995233
Miami Heat,0.4853290293120362,-0.2046181922069087,0.1933573335532325,-1.1164202329223474
Milwaukee Bucks,0.2034116219435814,1.080203452184503,-1.5916101409608656,0.9846336961524264
Minnesota Timberwolves,-0.6876738695523205,1.9593450015892397,0.2860275766954706,1.6266223967030506
New Orleans Pelicans,1.0784850845460836,-0.567117309113503,-1.365462286903077,-0.2993437049488238
New York Knicks,-0.4153782415575012,-0.8793627281010964,0.3596001191946226,-0.9996950146404154
Oklahoma City Thunder,-0.490860847166845,1.7927409990873286,2.2005043625989926,0.4010076047427666
Orlando Magic,-0.5072953802953183,-0.3796583724578367,-1.9174807363994553,-0.6495193597946196
Philadelphia 76ers,1.7570521696874732,-1.581667434888538,1.6156849249596505,0.2842823864608359
Phoenix Suns,-1.515391807936643,-1.6143988048750268,-0.40587897105072135,0.6344580413066304
Portland Trail Blazers,0.2973271153611402,-0.5392919085705012,1.0382388403043397,0.05083194989697074
Sacramento Kings,-1.536353229192541,0.5475243069054978,-0.4221101979970267,-2.5171228523055293
San Antonio Spurs,0.07017202980316206,0.8424208798026469,1.0456296932044946,-0.2993437049488238
Toronto Raptors,1.5635058563987423,0.6596384192549297,0.35541392451663945,0.4010076047427666
Utah Jazz,0.8146167885136194,0.15996940207431418,0.48741422388801225,0.10919455903793801
Washington Wizards,0.060555760379576426,0.23035819997294177,0.24193629331129887,0.10919455903793801
