Team,Shooting Factor,Turnover Factor,Rebounding Factor,Free Throw Factor
Atlanta Hawks,-0.28650111592202765,-0.10965977908637792,-0.34963870993009155,1.85
Boston Celtics,0.22639207807118145,0.12947792080187245,0.1399066962340717,1.86
Brooklyn Nets,0.08631079036866773,-0.20980488381251994,0.09642455915328307,1.7899999999999998
Charlotte Hornets,-0.4277199401297205,-0.018085950437138343,-0.16138886060482638,1.6199999999999999
Chicago Bulls,-0.3086531226486078,0.26020847426357546,-0.16434137757667167,1.55
Cleveland Cavaliers,-0.3821838422246149,-0.28538681439353647,0.2095566278559685,1.51
Dallas Mavericks,0.18641766648773817,-0.06369284912622578,0.08547008547008544,1.86
Denver Nuggets,0.030631286696098936,0.058491531270261354,0.1666401822130409,1.6199999999999999
Detroit Pistons,-0.13794490758005318,-0.11315467716135147,-0.13053136271663573,1.6600000000000001
Golden State Warriors,-0.5588443052164443,0.05539267097576628,-0.20676211332327749,1.8699999999999999
Houston Rockets,0.07542676144881244,0.11050030932000549,-0.34323898261217345,2.06
Indiana Pacers,0.22033898305084731,0.1054350070263442,-0.34166580764869614,1.5
League Average,0.0,0.0,0.0,1.7899999999999998
Los Angeles Clippers,0.28655802253089835,-0.04023707217640851,0.11884432226803882,2.08
Los Angeles Lakers,0.26985033019413796,0.07504243259797788,0.3417688898051749,1.77
Memphis Grizzlies,0.06461775745680853,-0.03907014624324162,0.06734748620478265,1.6600000000000001
Miami Heat,0.23140480055975687,-0.08947688182106228,-0.006418485237484062,1.97
Milwaukee Bucks,0.6289352339489268,-0.09132022479380233,0.23671162991055233,1.83
Minnesota Timberwolves,-0.2838911002048139,0.029146612089651358,-0.07351691313955494,1.9100000000000001
New Orleans Pelicans,0.06619193043544414,-0.14881361766138287,0.20380056624598103,1.7100000000000002
New York Knicks,-0.3959933852444075,-0.02090122888384824,0.39823654783801926,1.6300000000000001
Oklahoma City Thunder,0.11994178153717505,0.01888776377004131,-0.3935970848516396,1.98
Orlando Magic,-0.2776147046370203,0.17558327904583226,0.15093998553868476,1.7600000000000002
Philadelphia 76ers,0.10305050665396664,-0.020390151335904633,0.4302689312031574,1.69
Phoenix Suns,-0.054078343467609535,0.06563000278454884,0.10606060606060619,1.9899999999999998
Portland Trail Blazers,0.028752968666208023,-0.007370974543333686,-0.23096905353512526,1.77
Sacramento Kings,-0.0818779603609332,0.06796267779598547,0.02790346907993957,1.5699999999999998
San Antonio Spurs,-0.09695084748284954,0.04301392090667419,-0.08443454590447902,1.9
Toronto Raptors,0.3357117181188862,0.14616571170075948,-0.199014986010502,1.85
Utah Jazz,0.314227270749009,-0.2603306725976673,0.041860659331481864,1.78
Washington Wizards,-0.3514005246678509,0.16954356266049825,-0.2541928721174008,1.94
