Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Houston Rockets,6,244.2,42.3,91.0,.465,13.0,33.2,.392,29.3,57.8,.507,17.7,24.3,.726,11.2,35.2,46.3,22.8,8.0,5.5,15.3,22.0,115.3
2,Dallas Mavericks,7,240.0,36.6,81.4,.449,11.4,35.1,.325,25.1,46.3,.543,20.6,26.1,.787,9.0,35.4,44.4,21.4,7.1,3.9,16.9,23.3,105.1
3,Miami Heat,7,240.0,38.1,88.0,.433,14.6,39.3,.371,23.6,48.7,.484,16.7,21.9,.765,10.6,34.3,44.9,22.7,10.4,3.6,15.6,21.3,107.6
4,Oklahoma City Thunder,7,240.0,43.3,92.0,.470,10.9,31.4,.345,32.4,60.6,.535,13.3,19.1,.694,10.7,39.0,49.7,25.7,9.4,3.0,13.0,19.4,110.7
5,Toronto Raptors,7,240.0,38.4,86.0,.447,13.4,35.7,.376,25.0,50.3,.497,21.7,27.7,.784,10.6,39.0,49.6,26.1,6.6,6.0,17.7,20.4,112.0
6,Memphis Grizzlies,7,243.6,41.4,91.0,.455,11.9,34.1,.347,29.6,56.9,.520,17.4,21.3,.819,10.7,37.4,48.1,25.3,9.6,6.7,15.0,17.6,112.1
7,San Antonio Spurs,7,240.0,44.0,91.9,.479,13.4,32.4,.414,30.6,59.4,.514,13.4,18.6,.723,9.6,40.6,50.1,26.3,6.7,7.0,13.4,19.6,114.9
8,Denver Nuggets,7,243.6,42.0,86.9,.484,13.6,34.4,.394,28.4,52.4,.542,18.4,23.4,.787,10.1,30.1,40.3,27.9,7.3,4.3,15.4,24.6,116.0
9,Phoenix Suns,8,240.0,37.6,82.0,.459,10.3,29.3,.350,27.4,52.8,.519,16.9,23.5,.718,8.4,33.9,42.3,20.3,6.1,3.4,13.9,20.4,102.4
10,Portland Trail Blazers,7,243.6,42.3,88.7,.477,13.4,37.1,.362,28.9,51.6,.560,20.1,25.1,.801,9.1,39.1,48.3,24.3,5.7,5.7,14.0,21.1,118.1
11,Los Angeles Lakers,8,240.0,39.6,90.6,.437,11.4,33.8,.337,28.3,56.9,.497,13.5,18.0,.750,9.0,32.5,41.5,23.5,9.3,4.6,12.9,20.1,104.1
12,New York Knicks,8,240.0,38.5,88.8,.434,11.6,39.0,.298,26.9,49.8,.540,15.9,21.9,.726,11.0,33.0,44.0,22.6,7.1,6.4,13.1,20.0,104.5
13,Minnesota Timberwolves,7,240.0,44.7,89.3,.501,12.9,34.0,.378,31.9,55.3,.576,17.7,23.7,.747,9.9,36.0,45.9,28.4,6.6,5.6,16.1,19.6,120.0
14,Cleveland Cavaliers,8,246.3,38.4,85.9,.447,14.0,35.1,.399,24.4,50.8,.480,14.3,20.5,.695,11.3,35.3,46.5,24.0,8.9,4.6,20.1,19.5,105.0
15,New Orleans Pelicans,8,243.1,38.0,86.0,.442,15.9,44.1,.360,22.1,41.9,.528,13.3,16.6,.797,6.6,33.4,40.0,26.3,8.1,5.1,15.3,22.8,105.1
16,Orlando Magic,8,240.0,41.1,88.6,.464,10.1,31.4,.323,31.0,57.3,.541,13.6,19.1,.712,9.0,36.8,45.8,23.6,7.3,4.9,15.3,20.4,106.0
17,Philadelphia 76ers,8,240.0,38.1,89.5,.426,12.0,32.9,.365,26.1,56.6,.461,17.8,22.5,.789,10.0,33.1,43.1,25.9,8.5,4.6,15.6,22.9,106.0
18,Indiana Pacers,8,243.1,39.4,85.3,.462,10.9,27.4,.397,28.5,57.9,.492,18.4,24.5,.750,9.8,34.5,44.3,22.5,7.4,6.3,17.0,19.5,108.0
19,Charlotte Hornets,8,240.0,40.9,88.0,.464,12.6,37.6,.336,28.3,50.4,.561,15.6,22.1,.706,10.1,39.1,49.3,29.3,8.6,5.0,16.6,19.6,110.0
