Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chicago Bulls,9,240.0,40.9,88.8,.461,13.2,36.8,.360,27.7,52.0,.532,20.0,24.9,.804,8.9,35.3,44.2,24.2,7.3,3.9,17.8,21.6,115.0
2,Boston Celtics,9,240.0,42.8,89.1,.480,12.2,31.0,.394,30.6,58.1,.526,14.9,19.8,.753,11.7,33.1,44.8,23.4,8.9,6.9,15.1,21.3,112.7
3,Milwaukee Bucks,8,240.0,46.0,91.1,.505,17.6,40.4,.437,28.4,50.8,.559,15.6,21.0,.744,10.8,37.8,48.5,27.5,9.0,4.6,15.6,20.5,125.3
4,Los Angeles Clippers,9,240.0,39.7,84.6,.469,14.1,34.6,.408,25.6,50.0,.511,17.1,20.2,.846,9.1,33.1,42.2,24.4,7.0,5.0,14.4,22.9,110.6
5,Washington Wizards,8,240.0,43.8,91.5,.478,12.8,33.1,.385,31.0,58.4,.531,20.5,27.6,.742,9.0,33.6,42.6,28.0,7.4,3.6,14.8,25.0,120.8
6,Brooklyn Nets,8,243.1,42.5,88.8,.479,14.4,37.4,.385,28.1,51.4,.547,20.1,24.8,.813,9.4,38.5,47.9,25.1,7.6,6.3,16.1,20.9,119.5
7,Atlanta Hawks,8,240.0,40.3,88.9,.453,13.6,37.6,.362,26.6,51.3,.520,21.1,26.0,.813,11.6,37.4,49.0,24.9,5.9,3.5,15.3,22.0,115.3
8,Philadelphia 76ers,8,240.0,41.8,85.5,.488,12.4,32.0,.387,29.4,53.5,.549,18.9,25.3,.748,8.5,38.5,47.0,26.5,9.0,7.1,17.1,20.0,114.8
9,Indiana Pacers,8,243.1,43.6,89.0,.490,12.4,34.0,.364,31.3,55.0,.568,15.1,20.0,.756,7.1,33.9,41.0,26.9,9.9,5.9,13.9,23.3,114.8
10,Golden State Warriors,8,240.0,40.1,91.0,.441,12.9,37.5,.343,27.3,53.5,.509,21.4,26.8,.799,7.8,36.1,43.9,24.3,7.3,6.0,14.3,24.8,114.5
11,Los Angeles Lakers,8,240.0,43.3,88.5,.489,12.5,31.9,.392,30.8,56.6,.543,15.1,19.6,.771,10.0,38.9,48.9,25.9,6.6,6.0,15.6,18.6,114.1
12,Sacramento Kings,8,243.1,40.9,90.6,.451,10.6,30.4,.350,30.3,60.3,.502,20.4,27.8,.734,12.4,33.8,46.1,23.1,6.5,5.0,13.9,21.3,112.8
13,Detroit Pistons,8,246.3,40.1,93.8,.428,13.4,38.4,.349,26.8,55.4,.483,17.9,22.5,.794,11.4,32.6,44.0,24.0,7.6,4.3,13.6,20.0,111.5
14,Orlando Magic,8,240.0,40.9,92.0,.444,10.1,29.4,.345,30.8,62.6,.491,18.1,22.1,.819,12.0,36.3,48.3,21.6,7.9,3.1,13.4,18.4,110.0
15,Phoenix Suns,8,240.0,39.6,84.1,.471,14.5,37.1,.391,25.1,47.0,.535,16.0,19.1,.837,8.0,33.8,41.8,25.9,5.3,4.4,13.6,21.1,109.8
